user_id,career_code,kyc_level,account_age_days,kyc_l1_to_l2_days,confirmed_to_l2_days,kyc_rushed,twd_deposit_count,twd_deposit_total,twd_withdraw_total,twd_inout_ratio,twd_fast_exit_ratio,twd_night_ratio,twd_round_amount_ratio,twd_active_days,crypto_total_count,crypto_inout_ratio,crypto_night_ratio,trade_count,trade_buy_ratio,trade_night_ratio,swap_count,ip_unique_count,ip_diversity_ratio,twd_to_crypto_gap_hr,activity_density,feat_instant_wash_risk,feat_low_kyc_high_vol,graph_degree,graph_2hop_count,graph_comp_size,graph_clustering,graph_pagerank
98,-0.7857142857142857,0.0,4.394741930245153,124.83179990708418,114.70855702693014,-1.0,-0.3333333333333333,-0.2,99.00990099009901,980007840062730.5,0.0,0.0,1.5,0.0,-0.6666666666666666,-6.753977617000738e-12,0.0,-0.5,0.0,0.0,0.0,-0.5,0.7499999997083334,-0.2569169960474303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1333,-0.2857142857142857,0.0,4.394233684199102,199.87719744138678,183.67196614993534,-1.0,-0.3333333333333333,-0.2,16.467986798679867,163001437344833.75,0.0,4.0,0.0,0.0,0.6666666666666666,7.534439267382307,1.1785714285714286,0.0,0.0,1.0,0.0,0.0,-0.25000000031944447,-0.2569169960474303,-0.37932225373015016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1339,-1.0,0.0,4.394229248162083,95.7672340521109,87.99950137420835,-1.0,3.6666666666666665,1.6421,0.0,0.0,0.0,0.6666666666666664,0.12499999999999996,2.5,3.3333333333333335,6.442497850847594,0.7857142857142855,-0.5,0.0,0.0,12.0,2.5,-0.31250000034461795,-0.055335968379446834,-0.0171086626781661,0.0,0.0,1.0,0.0,0.5,0.0,2.3076923076923075
1372,0.14285714285714285,0.0,4.394186187653897,249.3154196520504,229.10356642369072,-1.0,-0.3333333333333333,-0.2,161.03201320132013,1593907617927626.2,0.0,0.0,0.0,0.0,-0.3333333333333333,-6.753977617000738e-12,0.0,0.5,0.0,0.5,0.0,-0.5,-0.25000000040277776,-0.2569169960474303,0.6765058891627206,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1568,0.35714285714285715,0.0,4.393931002045259,124.78572855577373,114.6662433598036,-1.0,-0.3333333333333333,-0.2,86.28316831683168,854037632301067.1,0.0,0.0,0.0,0.0,-0.3333333333333333,-6.753977617000738e-12,0.0,-0.5,0.0,0.0,0.0,-0.5,0.7499999997083334,-0.2569169960474303,0.654303514053408,0.0,0.0,13.0,556.0,6835.5,0.0082,2.4615384615384617
1987,-1.0,0.0,4.3920638843801205,124.68175977359746,114.57066038043301,-1.0,1.6666666666666667,0.182,1.0693069306930694,0.5541405587788969,0.0,1.714285714285714,0.0,2.5,1.6666666666666667,5.782155667644524e-12,2.020408163265306,3.0,0.8571428571428571,0.4285714285714285,0.0,2.5,-0.22500000022624994,0.2845849802371545,-0.2795158053989718,0.0,0.0,1.0,0.0,0.5,0.0,2.3076923076923075
2010,0.14285714285714285,0.0,4.391848169184591,178.01738329666745,251.94734337827123,-1.0,2.0,-0.1615,0.9465346534653465,4.8669480264908245,0.0,0.0,0.0,2.0,1.6666666666666667,-4.695416673811636e-12,0.0,1.5,0.75,0.0,0.0,3.0,-0.04411764703907139,0.35968379446640386,0.05082352072531585,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2043,-0.7142857142857143,0.0,4.391315535251298,124.93952078607255,114.80757281131524,-1.0,-0.3333333333333333,-0.2,9313.36600660066,9.218443420880794e+16,0.0,1.0322580645161288,0.6290322580645161,6.5,8.666666666666666,-6.753891510457169e-12,0.6734693877551018,36.0,0.0,0.2191780821917808,0.0,3.0,-0.6357142865086282,-0.2569169960474303,0.7154940172998802,0.0,0.0,1.0,0.0,0.5,0.0,2.3076923076923075
2057,-0.42857142857142855,0.0,4.391239978192854,227.26765784754477,208.84267650158066,-1.0,-0.3333333333333333,-0.2,10.184818481848184,100810139814452.88,0.0,4.0,0.0,0.0,-0.3333333333333333,-6.753977617000738e-12,4.714285714285714,1.5,0.0,1.0,0.0,-0.5,-0.4500000005849999,-0.2569169960474303,0.6892468364226173,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2306,0.21428571428571427,0.0,4.3891313750520125,199.5798349030117,183.39874637437129,-1.0,1.0,0.58,11.003630363036304,2.7926872987633042,0.0,0.5714285714285712,0.6428571428571428,1.5,1.6666666666666667,-4.070630387940469e-12,2.6938775510204085,3.0,0.2857142857142857,0.2857142857142857,0.0,2.5,-0.09375000005143226,0.5296442687747038,-0.30909714689531825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
