user_id,true_label,risk_score,prob_lightgbm,prob_xgboost,prob_catboost,prob_randomforest,prob_isolationforest
974198,1,0.9435,0.9413,0.9676,0.9118,0.9796,0.4556
875994,1,0.9262,0.9228,0.9457,0.9021,0.9828,0.3115
991378,1,0.9246,0.905,0.9478,0.9161,0.9834,0.4052
986520,1,0.9241,0.9237,0.953,0.8843,0.8982,0.2848
967574,1,0.9213,0.9178,0.9354,0.9043,0.9509,0.6266
991138,0,0.9196,0.9125,0.9437,0.8943,0.9813,0.4042
934187,1,0.9149,0.8955,0.9424,0.9005,0.9823,0.4074
719780,1,0.9102,0.9022,0.9554,0.8588,0.9795,0.4914
964968,1,0.9094,0.9246,0.9112,0.8847,0.9762,0.3154
928617,1,0.905,0.8924,0.9198,0.8987,0.9786,0.4002
920263,0,0.9019,0.885,0.938,0.8735,0.7482,0.8505
992537,0,0.9013,0.8898,0.9302,0.8753,0.9772,0.1694
959138,1,0.9008,0.8917,0.9217,0.8823,0.9766,0.2885
992816,1,0.8986,0.8861,0.9396,0.8582,0.9556,0.2447
972667,0,0.8985,0.8829,0.9334,0.8699,0.9747,0.1676
981609,1,0.8976,0.9054,0.9033,0.8772,0.9753,0.3974
936127,0,0.8969,0.8814,0.9158,0.8887,0.9812,0.1807
951117,1,0.8968,0.8937,0.9163,0.8727,0.9769,0.4599
296434,0,0.8968,0.9089,0.9035,0.87,0.9695,0.4229
981734,1,0.8957,0.8862,0.9044,0.8932,0.9787,0.3038
967568,0,0.8954,0.9026,0.8872,0.8939,0.9135,0.6801
888203,0,0.8947,0.8804,0.9292,0.8651,0.9676,0.1321
906374,0,0.8933,0.8814,0.9279,0.8605,0.8484,0.8294
943577,1,0.8929,0.8659,0.9189,0.8902,0.975,0.1907
946229,0,0.8915,0.8866,0.9,0.8837,0.9819,0.2402
992684,0,0.8904,0.885,0.8958,0.887,0.9696,0.2218
952880,0,0.8894,0.8446,0.9293,0.8912,0.9697,0.1939
944117,1,0.8868,0.8914,0.8997,0.8614,0.954,0.5815
992417,0,0.8861,0.8932,0.8826,0.8785,0.9795,0.1791
967121,1,0.884,0.9248,0.9372,0.7614,0.9515,0.3273
873205,0,0.8836,0.8827,0.8836,0.8815,0.9715,0.1532
235465,1,0.8827,0.8972,0.9027,0.8356,0.9646,0.3189
963359,1,0.8813,0.8909,0.8979,0.8449,0.9649,0.3537
976540,1,0.8801,0.8983,0.9091,0.8171,0.9491,0.4668
992875,0,0.8797,0.8955,0.8672,0.8731,0.9551,0.35
975983,1,0.8771,0.8526,0.9053,0.8684,0.8606,0.2649
962606,0,0.8768,0.8412,0.9095,0.8761,0.9679,0.38
991232,0,0.8757,0.8886,0.8639,0.8716,0.9772,0.234
127867,1,0.8746,0.8441,0.9071,0.8677,0.9779,0.55
962590,0,0.8722,0.8794,0.8986,0.8262,0.8911,0.7268
983659,0,0.8694,0.8347,0.8895,0.884,0.958,0.3973
996151,1,0.8689,0.8705,0.8863,0.8415,0.9345,0.1828
972279,1,0.8681,0.9028,0.9112,0.7663,0.7187,0.6533
954982,0,0.8656,0.8256,0.8996,0.8688,0.9586,0.6419
969302,1,0.865,0.8524,0.8862,0.8505,0.9414,0.6026
849131,0,0.8648,0.8306,0.8958,0.8647,0.8461,0.4238
934779,0,0.8643,0.8502,0.8895,0.8464,0.9735,0.1543
986961,1,0.8638,0.8214,0.8957,0.8728,0.8777,0.2407
345307,0,0.8634,0.8707,0.8746,0.8367,0.9196,0.4537
891990,0,0.8625,0.8528,0.8774,0.8525,0.9682,0.5705
970448,1,0.8599,0.863,0.8378,0.8814,0.9747,0.4389
881427,1,0.8598,0.9116,0.9357,0.6943,0.971,0.185
948606,1,0.8594,0.8493,0.8576,0.8713,0.9693,0.2287
912130,0,0.8588,0.8809,0.8658,0.8191,0.9439,0.2732
958891,0,0.8584,0.8523,0.8844,0.8295,0.9665,0.1243
977381,0,0.857,0.8657,0.8275,0.881,0.9715,0.4008
992046,1,0.8566,0.8331,0.8675,0.869,0.9734,0.1806
893561,1,0.8555,0.8298,0.9043,0.822,0.7152,0.6108
492192,1,0.855,0.8656,0.9041,0.7758,0.9324,0.2049
933279,0,0.8538,0.8427,0.8715,0.8417,0.9401,0.1217
969331,1,0.8526,0.8442,0.8729,0.8341,0.9519,0.3178
485684,0,0.8509,0.8397,0.8722,0.8344,0.9638,0.2525
966873,0,0.8496,0.8708,0.8646,0.801,0.8628,0.645
974690,0,0.8495,0.817,0.894,0.8297,0.9326,0.426
251368,0,0.849,0.8344,0.8474,0.8662,0.937,0.5664
907611,1,0.8487,0.707,0.9145,0.9383,0.8883,0.7647
975730,1,0.8472,0.7998,0.8849,0.8552,0.9686,0.1724
753062,1,0.8472,0.9102,0.942,0.6433,0.9688,0.3154
941632,1,0.847,0.8097,0.9145,0.8039,0.8619,0.8212
973458,0,0.8469,0.8518,0.8272,0.8633,0.9098,0.7236
996704,0,0.8468,0.8495,0.8642,0.818,0.9736,0.1755
993426,0,0.8459,0.8781,0.8613,0.7827,0.9626,0.2236
969038,0,0.8454,0.8734,0.8684,0.7779,0.7752,0.5981
976222,1,0.8453,0.8828,0.9092,0.7131,0.9055,0.2037
934305,0,0.8451,0.8559,0.8588,0.8108,0.9295,0.1766
986371,0,0.845,0.8124,0.8539,0.8713,0.9653,0.2931
953394,0,0.8437,0.8528,0.8568,0.8124,0.9343,0.3731
975816,0,0.8437,0.8456,0.8129,0.878,0.9664,0.4976
935675,0,0.8433,0.8473,0.8613,0.8121,0.9582,0.0894
979099,1,0.8426,0.8713,0.8869,0.7468,0.9456,0.0719
944350,1,0.841,0.8331,0.8409,0.8479,0.7484,0.4961
859218,0,0.841,0.8221,0.8796,0.812,0.9363,0.589
973573,1,0.8407,0.8332,0.8464,0.8397,0.962,0.3313
906034,1,0.8405,0.8859,0.8838,0.725,0.7397,0.3587
973726,0,0.8404,0.8457,0.8185,0.8591,0.9609,0.2522
996525,1,0.8402,0.8309,0.8531,0.8325,0.9681,0.1622
335818,1,0.84,0.8377,0.8549,0.8207,0.971,0.2445
976703,1,0.8391,0.8584,0.8544,0.7923,0.9533,0.3095
989408,0,0.8378,0.8345,0.8428,0.8324,0.9417,0.3133
989318,1,0.8377,0.8261,0.9013,0.7675,0.9336,0.1961
861213,1,0.8367,0.7976,0.8359,0.8836,0.9561,0.5454
909637,1,0.8367,0.8064,0.9291,0.7527,0.8157,0.6336
971283,0,0.8357,0.8695,0.7966,0.8409,0.9754,0.1987
886900,0,0.8357,0.8257,0.828,0.8551,0.9579,0.3437
612544,1,0.8353,0.8475,0.8591,0.7866,0.9775,0.1723
988146,0,0.8353,0.8336,0.8427,0.825,0.9555,0.1777
983568,1,0.8351,0.8582,0.8376,0.7999,0.9563,0.1471
912997,0,0.8349,0.7896,0.8544,0.8637,0.9225,0.4138
891475,1,0.8347,0.8035,0.8712,0.8239,0.7082,0.667
983872,1,0.8334,0.8456,0.8874,0.746,0.9267,0.2796
975179,0,0.8323,0.8221,0.8398,0.8325,0.9451,0.1894
914924,0,0.832,0.8462,0.8257,0.8193,0.9583,0.2565
986521,1,0.8302,0.8622,0.8585,0.7507,0.6794,0.2189
969093,0,0.83,0.7995,0.8312,0.8637,0.7777,0.4162
908747,0,0.8291,0.8441,0.8394,0.7942,0.9581,0.1751
972080,0,0.8286,0.817,0.8783,0.7762,0.9357,0.2833
342910,1,0.8284,0.845,0.834,0.7974,0.9371,0.5208
984579,0,0.8277,0.8272,0.7977,0.864,0.9191,0.468
624297,0,0.8277,0.8233,0.8486,0.8034,0.9618,0.2742
896883,0,0.8276,0.7838,0.8351,0.8699,0.9599,0.3439
974880,0,0.8274,0.8189,0.9439,0.6852,0.8723,0.2919
984573,1,0.8247,0.859,0.8847,0.7016,0.8756,0.0966
996166,0,0.8236,0.8331,0.826,0.8057,0.9571,0.1586
968467,0,0.8233,0.8386,0.7898,0.8444,0.9781,0.2042
185315,0,0.8226,0.8419,0.8655,0.7403,0.8653,0.7914
975937,0,0.8222,0.8117,0.8201,0.8351,0.8219,0.4008
989840,0,0.8207,0.8044,0.8544,0.7948,0.9581,0.1829
965611,0,0.8192,0.8626,0.7657,0.8308,0.9667,0.2177
946469,1,0.8189,0.8034,0.8075,0.8498,0.9515,0.2585
307823,1,0.8185,0.7736,0.8425,0.8407,0.8893,0.755
890854,1,0.8183,0.8309,0.7662,0.8665,0.9496,0.3058
927050,0,0.8182,0.8089,0.8143,0.8318,0.9571,0.2535
940083,0,0.8169,0.7939,0.8124,0.8486,0.961,0.3729
981473,1,0.8165,0.8121,0.8584,0.7653,0.8752,0.4656
903945,0,0.8158,0.7914,0.8199,0.8382,0.9514,0.182
981365,1,0.815,0.8436,0.9006,0.6662,0.9329,0.1647
932164,0,0.8139,0.8039,0.8253,0.809,0.8613,0.6443
905352,0,0.8131,0.773,0.8553,0.8059,0.9299,0.4424
623892,0,0.812,0.7582,0.8308,0.8521,0.9759,0.2825
